RepoId,LangNum,AuthorNum,Age,CmmtNum,Vulb1Num,Vulb2Num,Vulb3Num,Vulb4Num,C,CPP,RUBY,JAVA,SHELL,PHP,CSHP,PYTHON,JAVASCRIPT,TYPESCRIPT
12670444,4,238,82,25,1,0,0,6,0,0,0,0,1,0,0,0,1,0
8686855,6,96,89,7,1,0,0,0,0,0,0,0,1,1,0,0,1,0
22067521,2,233,73,79,2,0,8,1,1,1,0,0,0,0,0,0,0,0
301742,5,407,132,31,0,0,0,12,1,0,1,0,1,0,0,1,0,0
23095954,2,77,82,6,0,0,0,1,0,0,0,1,1,0,0,0,0,0
1420053,5,382,114,30,1,0,1,8,0,0,0,0,1,1,0,0,1,0
10567197,13,401,86,68,0,0,2,2,0,0,1,1,1,1,0,1,1,0
18511024,3,83,45,16,0,0,0,2,0,0,0,0,0,0,0,0,1,0
21696302,4,617,73,49,0,0,3,7,0,0,1,0,1,0,0,0,1,0
1357796,12,579,120,176,27,3,6,19,1,1,0,0,1,0,0,1,1,0
17803236,7,406,93,49,3,0,0,0,0,0,0,0,1,0,0,1,0,0
15045751,5,394,80,71,0,0,0,2,0,0,0,0,1,0,0,1,0,0
401025,9,241,127,25,0,0,0,7,0,0,1,0,1,0,0,0,0,0
402046,3,151,137,15,0,0,0,2,0,0,0,0,0,0,0,0,1,1
15975439,1,15,69,13,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1116542,5,58,174,30,6,0,0,3,1,1,0,0,1,0,0,0,0,0
14125254,10,703,81,150,0,0,3,25,0,0,1,0,1,0,0,0,1,0
23141830,2,65,71,6,1,0,0,1,0,0,0,0,0,0,0,0,1,1
2246815,4,176,108,10,0,2,0,0,0,0,0,0,0,1,0,1,0,0
13124802,9,528,88,383,13,0,7,58,0,0,0,0,1,0,0,1,1,1
7240954,2,70,71,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
16587283,17,472,78,55,2,0,2,11,1,1,0,1,1,0,0,1,0,0
