,average,standard deviation,bytes_distribution,percentage_sum,percentage_avg,percentage_std,percentage_median,percentage_max,percentage_min
stan,29%,50%,0.0007744736231,0.8707335636,0.2902,0.5027,0,0.8706709676,2.54E-05
emacs lisp,23%,39%,0.0007724928844,35.36217324,0.2281,0.3934,0.002,1,1.12E-06
haxe,28%,39%,0.0007311450425,4.172294244,0.2782,0.3857,0.0043,0.9997988103,3.13E-06
coffeescript,24%,34%,0.0007064068636,44.52855201,0.242,0.3415,0.0409,1,4.54E-07
objective-c++,3%,11%,0.0007012563805,5.113172039,0.0339,0.11,0.0029,0.8491342496,4.54E-06
hack,3%,13%,0.0006958279261,1.681421061,0.0259,0.1269,0.0006,0.9982454408,2.52E-07
plpgsql,3%,10%,0.0006874262898,2.436548025,0.029,0.1029,0.0014,0.6553502607,2.80E-06
r,23%,39%,0.0006795568693,20.46557297,0.2326,0.3895,0.0032,1,5.09E-07
dm,91%,91%,0.0006705831562,0.9099579235,0.9099579235,0.9099579235,0.9099579235,0.9099579235,0.9099579235
chapel,30%,42%,0.0006421102918,0.5902784602,0.2951,0.4166,0.2951,0.5897244691,0.0005539910438
actionscript,14%,27%,0.000569702885,4.127717049,0.1423,0.2652,0.0213,0.9999023745,7.93E-06
julia,45%,50%,0.000508053262,6.70946506,0.4473,0.4975,0.0213,1,1.47E-06
glsl,1%,4%,0.0004763850285,1.263784421,0.0126,0.0373,0.0026,0.3047814362,3.58E-06
yacc,1%,2%,0.0004665063621,1.229833121,0.0117,0.0225,0.0033,0.1227992252,1.41E-05
pawn,1%,3%,0.0004483196304,0.2338813173,0.0081,0.0322,0.0002,0.1715505743,4.61E-06
elixir,46%,46%,0.0004424502815,17.78640733,0.4561,0.4564,0.2571,1,4.84E-06
pony,39%,51%,0.0004107518535,1.166508935,0.3888,0.509,0.1995,0.9654109279,0.001615807211
cuda,5%,9%,0.0004001007517,2.303489649,0.0548,0.0914,0.0178,0.4618826858,7.48E-05
coq,9%,16%,0.0003869123008,0.7957439286,0.0884,0.1589,0.0038,0.439654683,2.44E-06
nim,21%,38%,0.000381079368,0.8210130397,0.2053,0.3778,0.0251,0.7708158629,6.26E-05
rich text format,4%,11%,0.0003740193262,3.302940419,0.0371,0.1142,0.0025,0.8652274704,5.21E-06
tcl,2%,5%,0.0003562702903,1.129841107,0.0213,0.0516,0.0007,0.2535163243,1.33E-06
vue,11%,17%,0.00032244096,5.860890042,0.1127,0.1671,0.034,0.7175164309,4.71E-05
smarty,1%,3%,0.0002998467243,1.321240596,0.0115,0.0281,0.0012,0.1622288437,9.10E-07
perl 6,3%,13%,0.0002965335653,1.392034404,0.0253,0.1256,0.0005,0.9258225169,1.41E-06
f*,21%,31%,0.0002961255015,0.8287767728,0.2072,0.3115,0.0847,0.6592630505,0.0002133519397
crystal,26%,48%,0.0002856827728,1.0268391,0.2567,0.4845,0.022,0.9827523289,2.55E-05
gherkin,8%,13%,0.0002683108681,8.876473984,0.083,0.1287,0.0272,0.7697376752,5.82E-07
pascal,3%,13%,0.0002608406534,1.809716329,0.0341,0.133,0.0017,0.8846368246,4.01E-07
qml,14%,25%,0.0002487348072,2.081605312,0.1388,0.2527,0.0121,0.9232765183,1.80E-05
objective-j,21%,37%,0.0002459836015,0.6395595658,0.2132,0.3691,0.0001,0.6394210573,9.80E-06
ren'py,55%,55%,0.0002101542348,0.5539611074,0.5539611074,0.5539611074,0.5539611074,0.5539611074,0.5539611074
